request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_160,570.29,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1338.24 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23010400 minimum protected.
request_162,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24161100 minimum protected.
request_163,11385585.79,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-10-15,none,"Use 3 installments of IDR 6692053.33, starting 2024-09-10. This leaves at least IDR 27746349.96 available."
request_164,25889860.39,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-04-15,reduce_to:event_15105:593750.00,"Use 3 installments of IDR 9366240, starting 2025-02-11. This leaves at least IDR 29640927.21 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This leaves at least INR 95000 available over the next 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 2024-12-03. This leaves at least USD 4432.57 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This leaves at least ZAR 31200 available over the next 90 days.
request_168,34571.36,affordable_with_plan,partial_payment,2026-01-07:34571.36|2026-01-15:14808.64,2026-01-15,none,"Pay INR 34571.36 today, then INR 14808.64 on 2026-01-15. The balance stays above INR 114400."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This leaves at least ZAR 18700 available over the next 90 days.
request_170,32573799.85,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12804480, starting 2025-08-06. This leaves at least IDR 29438995.75 available."
request_171,0.23,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 2024-06-05. This leaves at least ZAR 30583.33 available."
request_173,63781.08,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39173.33, starting 2025-11-21. This leaves at least INR 83750.79 available."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 2542.73 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today. This leaves at least EUR 1700 available over the next 90 days.
request_176,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today. This leaves at least USD 1300 available over the next 90 days.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 2024-12-07. This leaves at least EUR 3917.01 available."
request_179,8424490.98,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41648000 in full. Paying earlier would put the IDR 41430800 minimum at risk."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This leaves at least INR 37300 available over the next 90 days.
request_181,290.75,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-04-07. None of the available options keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This leaves at least ZAR 31100 available over the next 90 days.
request_183,24593231.21,not_affordable,not_recommended,none,2026-05-15,none,Do not make this payment by 2026-06-18. None of the available options keeps the IDR 11878300 minimum protected.
request_184,18461.47,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-30. None of the available options keeps the INR 110800 minimum protected.
request_185,401.81,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 1257.30 in full. Paying earlier would put the EUR 1300 minimum at risk."
request_186,9823.41,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 2026-03-15, then pay ZAR 26554 in full. Paying earlier would put the ZAR 22000 minimum at risk."
request_187,37750.93,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 187500 in full. Paying earlier would put the INR 128300 minimum at risk."
request_188,187.66,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,619.27,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2557.50 in full. Paying earlier would put the EUR 1600 minimum at risk."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-05-11. None of the available options keeps the USD 1000 minimum protected.
request_193,81.50,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. This leaves at least EUR 1081.50 available."
request_194,39203.32,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Wait until 2025-10-15, then pay INR 132800 in full. Paying earlier would put the INR 113600 minimum at risk."
request_195,975.53,not_affordable,not_recommended,none,2026-03-15,none,Do not make this payment by 2026-03-11. None of the available options keeps the EUR 700 minimum protected.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-01-21. None of the available options keeps the IDR 26245900 minimum protected.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today. This leaves at least INR 124300 available over the next 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8206986.67, starting 2024-09-07. This leaves at least IDR 60054613.77 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today. This leaves at least IDR 20114600 available over the next 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today. This leaves at least IDR 17304500 available over the next 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today. This leaves at least INR 147800 available over the next 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. This leaves at least EUR 2239.13 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today. This leaves at least EUR 1300 available over the next 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. This leaves at least IDR 13994300 available over the next 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. This leaves at least EUR 3015.10 available."
request_207,5888.28,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11830 in full. Paying earlier would put the ZAR 13600 minimum at risk."
request_208,3371114.29,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15, then pay IDR 4413000 in full. Paying earlier would put the IDR 10470700 minimum at risk."
request_209,1598.10,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 18400 minimum protected.
request_210,1026.50,affordable_with_plan,partial_payment,2026-04-06:1026.50|2026-04-15:333.52,2026-04-15,none,"Pay USD 1026.50 today, then USD 333.52 on 2026-04-15. The balance stays above USD 2000."
request_211,785.13,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 1788.60 in full. Paying earlier would put the EUR 1500 minimum at risk."
request_212,7884052.06,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-28. None of the available options keeps the IDR 29579800 minimum protected.
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1165.63, starting 2026-01-21. This leaves at least USD 8480.72 available."
request_214,37992.02,affordable_with_plan,partial_payment,2024-12-04:37992.02|2024-12-15:31757.98,2024-12-15,none,"Pay INR 37992.02 today, then INR 31757.98 on 2024-12-15. The balance stays above INR 174900."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10395.15, starting 2025-05-09. This leaves at least ZAR 27111.47 available."
request_216,477.26,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-15. None of the available options keeps the USD 1800 minimum protected.
request_217,19532.65,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12889.07, starting 2024-03-19. This leaves at least ZAR 28708.89 available."
request_218,27845030.84,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21195893.33, starting 2025-08-07. This leaves at least IDR 37600045.23 available."
request_219,1256.93,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. This leaves at least EUR 1578.88 available."
request_220,74.93,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-07-03. None of the available options keeps the EUR 1100 minimum protected.
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. This leaves at least INR 81500 available over the next 90 days.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. This leaves at least ZAR 27300 available over the next 90 days.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,"Use 2 installments of IDR 5370040, starting 2025-02-04. This leaves at least IDR 28008105.94 available."
request_225,10961904.28,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7647120, starting 2026-07-20. This leaves at least IDR 20395849.81 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,Pay INR 157000 today. This leaves at least INR 209400 available over the next 90 days.
request_227,4078.48,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-20. None of the available options keeps the INR 62900 minimum protected.
request_228,4643600.86,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-04-30. None of the available options keeps the IDR 26191200 minimum protected.
request_229,566.85,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. This leaves at least EUR 1201.38 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Pay EUR 3537.60 today. This leaves at least EUR 2000 available over the next 90 days.
request_231,35706,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-03,none,"Use 3 installments of ZAR 12378.08, starting 2026-01-06. This leaves at least ZAR 38075.86 available."
request_232,786.77,not_affordable,not_recommended,none,,none,Do not make this payment by 2024-08-15. None of the available options keeps the EUR 2400 minimum protected.
request_233,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-12-17. None of the available options keeps the IDR 10365700 minimum protected.
request_234,227.54,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Wait until 2026-09-15, then pay EUR 1213.30 in full. Paying earlier would put the EUR 700 minimum at risk."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5890616.76,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-23. None of the available options keeps the IDR 16768600 minimum protected.
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. This leaves at least IDR 22431500 available over the next 90 days.
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,stop:event_21888,"Use 3 installments of USD 230.05, starting 2024-12-07. This leaves at least USD 779.24 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,20689.08,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-03-20. None of the available options keeps the INR 52800 minimum protected.
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,reduce_to:event_22186:501600.00,"Use 3 installments of IDR 7298026.67, starting 2024-03-17. This leaves at least IDR 79970380.23 available."
request_242,0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-08-25. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. This leaves at least ZAR 19900 available over the next 90 days.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. This leaves at least ZAR 45900 available over the next 90 days.
request_245,39034.82,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Wait until 2026-01-15, then pay INR 128500 in full. Paying earlier would put the INR 94600 minimum at risk."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22216.48, starting 2026-04-03. This leaves at least ZAR 153282.69 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Pay EUR 1059.30 today. This leaves at least EUR 1300 available over the next 90 days.
request_248,349.91,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-28. None of the available options keeps the USD 1300 minimum protected.
request_249,159.12,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Wait until 2026-03-15, then pay USD 643.20 in full. Paying earlier would put the USD 600 minimum at risk."
request_250,15480.52,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-01-18. None of the available options keeps the ZAR 35300 minimum protected.
request_251,1144.51,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-06. None of the available options keeps the EUR 1300 minimum protected.
request_252,4892689.85,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, then pay IDR 28082000 in full. Paying earlier would put the IDR 15152200 minimum at risk."
request_253,1371.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. This leaves at least EUR 2544.54 available."
request_254,648.28,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Wait until 2025-10-15, then pay USD 3535.20 in full. Paying earlier would put the USD 2500 minimum at risk."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. This leaves at least IDR 9813900 available over the next 90 days.
request_256,152538.57,not_affordable,not_recommended,none,2024-07-15,none,Do not make this payment by 2024-08-19. None of the available options keeps the INR 168600 minimum protected.
request_257,575.72,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Wait until 2026-01-15, then pay USD 1352.40 in full. Paying earlier would put the USD 1600 minimum at risk."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Pay USD 1113.60 today. This leaves at least USD 500 available over the next 90 days.
request_259,454.88,affordable_later,wait,2024-10-15:935,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 935 in full. Paying earlier would put the EUR 600 minimum at risk."
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_260,7834946.30,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-04-18. None of the available options keeps the IDR 20727700 minimum protected.
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Pay EUR 1830.40 today. This leaves at least EUR 1500 available over the next 90 days.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. This leaves at least IDR 31018500 available over the next 90 days.
request_263,7884,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-06-15. None of the available options keeps the ZAR 24100 minimum protected.
