payment_option_id,request_id,payment_method,payment_amount,number_of_payments,first_payment_date,payment_frequency_days,financing_fee,total_payable_amount
payment_option_61,request_22,installments,253.59,3,2024-12-08,28,29.27,760.77
payment_option_62,request_22,full_payment,731.5,1,2024-12-05,,0,731.5
payment_option_63,request_22,installments,53.64,15,2024-12-12,30,73.1,804.6
payment_option_64,request_23,full_payment,38016,1,2025-05-07,,0,38016
payment_option_65,request_23,installments,2407.68,18,2025-05-21,31,5322.24,43338.24
payment_option_66,request_23,installments,1932.48,24,2025-05-10,30,8363.52,46379.52
payment_option_67,request_24,full_payment,109600,1,2026-01-04,,0,109600
payment_option_68,request_24,installments,6158.48,21,2026-01-04,28,19728.08,129328.08
payment_option_69,request_25,full_payment,60496000,1,2024-03-06,,0,60496000
payment_option_70,request_25,installments,4436373.33,15,2024-03-09,30,6049599.95,66545599.95
payment_option_71,request_25,installments,3075213.33,24,2024-03-20,28,13309119.92,73805119.92
payment_option_72,request_26,full_payment,15656000,1,2025-08-03,,0,15656000
payment_option_73,request_26,installments,1148106.67,15,2025-08-06,30,1565600.05,17221600.05
payment_option_74,request_26,installments,2818080,6,2025-08-10,31,1252480,16908480
payment_option_75,request_26,installments,795846.67,24,2025-08-17,28,3444320.08,19100320.08
payment_option_76,request_27,full_payment,6670,1,2026-07-05,,0,6670
payment_option_77,request_27,installments,383.53,18,2026-07-12,31,233.54,6903.54
payment_option_78,request_28,full_payment,1302.4,1,2024-06-07,,0,1302.4
payment_option_79,request_28,installments,73.18,21,2024-06-21,28,234.38,1536.78
payment_option_80,request_28,installments,66.21,24,2024-06-10,31,286.64,1589.04
payment_option_81,request_29,full_payment,51524,1,2025-11-04,,0,51524
payment_option_82,request_29,installments,3778.43,15,2025-11-04,30,5152.45,56676.45
payment_option_83,request_30,installments,268.74,3,2026-04-06,30,31.02,806.22
payment_option_84,request_30,full_payment,775.2,1,2026-04-06,,0,775.2
payment_option_85,request_30,installments,49.1,18,2026-04-09,31,108.6,883.8
payment_option_86,request_31,full_payment,18164000,1,2024-09-03,,0,18164000
payment_option_87,request_31,installments,1020643.81,21,2024-09-10,28,3269520.01,21433520.01
payment_option_88,request_32,full_payment,40018,1,2025-02-05,,0,40018
payment_option_89,request_32,installments,2934.65,15,2025-02-19,30,4001.75,44019.75
payment_option_90,request_32,installments,2034.25,24,2025-02-08,28,8804,48822
payment_option_91,request_33,full_payment,118000,1,2026-01-07,,0,118000
payment_option_92,request_33,installments,7473.33,18,2026-01-07,31,16519.94,134519.94
payment_option_93,request_34,full_payment,129400,1,2024-12-04,,0,129400
payment_option_94,request_34,installments,7271.05,21,2024-12-07,28,23292.05,152692.05
payment_option_95,request_34,installments,23292,6,2024-12-11,30,10352,139752
payment_option_96,request_34,installments,6577.83,24,2024-12-18,31,28467.92,157867.92
payment_option_97,request_35,full_payment,212000,1,2025-10-30,,0,212000
payment_option_98,request_35,installments,15546.67,15,2025-11-06,30,21200.05,233200.05
payment_option_99,request_36,full_payment,3954,1,2026-07-03,,0,3954
payment_option_100,request_36,installments,250.42,18,2026-07-17,31,553.56,4507.56
payment_option_101,request_36,installments,201,24,2026-07-06,30,870,4824
payment_option_102,request_37,full_payment,14649000,1,2024-03-05,,0,14649000
payment_option_103,request_37,installments,823134.29,21,2024-03-05,28,2636820.09,17285820.09
payment_option_104,request_38,full_payment,971.3,1,2025-08-07,,0,971.3
payment_option_105,request_38,installments,71.23,15,2025-08-10,30,97.15,1068.45
payment_option_106,request_38,installments,49.37,24,2025-08-21,28,213.58,1184.88
payment_option_107,request_39,full_payment,208600,1,2026-04-04,,0,208600
payment_option_108,request_39,installments,13211.33,18,2026-04-11,31,29203.94,237803.94
payment_option_109,request_40,full_payment,1290.3,1,2024-06-06,,0,1290.3
payment_option_110,request_40,installments,72.5,21,2024-06-20,28,232.2,1522.5
payment_option_111,request_40,installments,65.59,24,2024-06-09,31,283.86,1574.16
payment_option_112,request_41,full_payment,38760000,1,2025-11-03,,0,38760000
payment_option_113,request_41,installments,2842400,15,2025-11-03,30,3876000,42636000
payment_option_114,request_42,full_payment,52100,1,2026-01-05,,0,52100
payment_option_115,request_42,installments,3299.67,18,2026-01-08,31,7294.06,59394.06
payment_option_116,request_42,installments,2648.42,24,2026-01-19,30,11462.08,63562.08
payment_option_117,request_43,full_payment,43339000,1,2024-09-07,,0,43339000
payment_option_118,request_43,installments,2435239.05,21,2024-09-14,28,7801020.05,51140020.05
payment_option_119,request_44,full_payment,95800,1,2025-02-04,,0,95800
payment_option_120,request_44,installments,7025.33,15,2025-02-18,30,9579.95,105379.95
payment_option_121,request_44,installments,4869.83,24,2025-02-07,28,21075.92,116875.92
payment_option_122,request_45,full_payment,21983000,1,2026-07-06,,0,21983000
payment_option_123,request_45,installments,1392256.67,18,2026-07-06,31,3077620.06,25060620.06
payment_option_124,request_46,full_payment,49450,1,2024-12-03,,0,49450
payment_option_125,request_46,installments,25714,2,2024-12-03,28,1978,51428
payment_option_126,request_46,installments,17472.34,3,2024-12-04,31,2967.02,52417.02
payment_option_127,request_47,full_payment,38114000,1,2025-05-05,,0,38114000
payment_option_128,request_47,installments,2795026.67,15,2025-05-12,30,3811400.05,41925400.05
payment_option_129,request_48,full_payment,45700,1,2026-07-25,,0,45700
payment_option_130,request_48,installments,2894.33,18,2026-08-08,31,6397.94,52097.94
payment_option_131,request_48,installments,8226,6,2026-07-25,28,3656,49356
payment_option_132,request_48,installments,2323.08,24,2026-07-28,30,10053.92,55753.92
payment_option_133,request_49,installments,11902106.67,3,2024-03-18,31,1373320.01,35706320.01
payment_option_134,request_49,full_payment,34333000,1,2024-03-04,,0,34333000
payment_option_135,request_49,installments,1929187.62,21,2024-03-04,28,6179940.02,40512940.02
payment_option_136,request_50,full_payment,43900,1,2025-08-06,,0,43900
payment_option_137,request_50,installments,3219.33,15,2025-08-09,30,4389.95,48289.95
payment_option_138,request_50,installments,7902,6,2025-08-13,31,3512,47412
payment_option_139,request_50,installments,2231.58,24,2025-08-20,28,9657.92,53557.92
payment_option_140,request_51,full_payment,2191000,1,2026-01-03,,0,2191000
payment_option_141,request_51,installments,125982.5,18,2026-01-10,31,76685,2267685
payment_option_142,request_52,full_payment,28870,1,2024-06-05,,0,28870
payment_option_143,request_52,installments,1422.88,21,2024-06-19,28,1010.48,29880.48
payment_option_144,request_52,installments,1263.07,24,2024-06-08,31,1443.68,30313.68
payment_option_145,request_53,installments,589.06,3,2025-11-21,28,67.98,1767.18
payment_option_146,request_53,full_payment,1699.2,1,2025-11-07,,0,1699.2
payment_option_147,request_53,installments,124.61,15,2025-11-07,30,169.95,1869.15
payment_option_148,request_54,full_payment,121528,1,2026-07-04,,0,121528
payment_option_149,request_54,installments,7696.77,18,2026-07-07,31,17013.86,138541.86
payment_option_150,request_54,installments,6177.67,24,2026-07-18,30,26736.08,148264.08
payment_option_151,request_55,installments,75781.33,3,2026-06-11,31,8743.99,227343.99
payment_option_152,request_55,full_payment,218600,1,2026-06-08,,0,218600
payment_option_153,request_55,installments,12283.24,21,2026-06-15,28,39348.04,257948.04
payment_option_154,request_56,full_payment,881.56,1,2025-02-03,,0,881.56
payment_option_155,request_56,installments,458.42,2,2025-02-03,28,35.28,916.84
payment_option_156,request_56,installments,311.49,3,2025-02-06,28,52.91,934.47
payment_option_157,request_57,full_payment,61446,1,2026-04-05,,0,61446
payment_option_158,request_57,installments,3891.58,18,2026-04-05,31,8602.44,70048.44
payment_option_159,request_58,full_payment,16226000,1,2024-12-07,,0,16226000
payment_option_160,request_58,installments,911746.67,21,2024-12-10,28,2920680.07,19146680.07
payment_option_161,request_58,installments,2920680,6,2024-12-14,30,1298080,17524080
payment_option_162,request_58,installments,824821.67,24,2024-12-21,31,3569720.08,19795720.08
payment_option_163,request_59,installments,48741.33,3,2025-05-07,28,5623.99,146223.99
payment_option_164,request_59,full_payment,140600,1,2025-05-04,,0,140600
payment_option_165,request_59,installments,10310.67,15,2025-05-11,30,14060.05,154660.05
payment_option_166,request_60,full_payment,199.89,1,2026-01-06,,0,199.89
payment_option_167,request_60,installments,11.5,18,2026-01-20,31,7.11,207
payment_option_168,request_60,installments,8.75,24,2026-01-09,30,10.11,210
payment_option_169,request_61,installments,10074.83,3,2024-03-17,31,1162.49,30224.49
payment_option_170,request_61,full_payment,29062,1,2024-03-03,,0,29062
payment_option_171,request_61,installments,1633.01,21,2024-03-03,28,5231.21,34293.21
payment_option_172,request_62,full_payment,404.23,1,2025-08-05,,0,404.23
payment_option_173,request_62,installments,27.9,15,2025-08-08,30,14.27,418.5
payment_option_174,request_62,installments,17.69,24,2025-08-19,28,20.33,424.56
payment_option_175,request_63,full_payment,343900,1,2026-07-07,,0,343900
payment_option_176,request_63,installments,21780.33,18,2026-07-14,31,48145.94,392045.94
payment_option_177,request_64,installments,22082.67,3,2024-06-11,31,2548.01,66248.01
payment_option_178,request_64,full_payment,63700,1,2024-06-04,,0,63700
payment_option_179,request_64,installments,3579.33,21,2024-06-18,28,11465.93,75165.93
payment_option_180,request_65,full_payment,54340,1,2025-11-06,,0,54340
payment_option_181,request_65,installments,3984.93,15,2025-11-06,30,5433.95,59773.95
payment_option_182,request_66,full_payment,22200,1,2026-04-03,,0,22200
payment_option_183,request_66,installments,1276.5,18,2026-04-06,31,777,22977
payment_option_184,request_66,installments,971.25,24,2026-04-17,30,1110,23310
payment_option_185,request_67,full_payment,2094,1,2024-09-05,,0,2094
payment_option_186,request_67,installments,117.66,21,2024-09-12,28,376.86,2470.86
payment_option_187,request_68,installments,725.09,3,2025-02-14,28,83.67,2175.27
payment_option_188,request_68,full_payment,2091.6,1,2025-02-07,,0,2091.6
payment_option_189,request_68,installments,153.38,15,2025-02-21,30,209.1,2300.7
payment_option_190,request_69,full_payment,529.1,1,2026-01-04,,0,529.1
payment_option_191,request_69,installments,33.51,18,2026-01-04,31,74.08,603.18
payment_option_192,request_69,installments,95.24,6,2026-01-07,28,42.34,571.44
payment_option_193,request_70,full_payment,243900,1,2024-12-06,,0,243900
payment_option_194,request_70,installments,13704.86,21,2024-12-09,28,43902.06,287802.06
payment_option_195,request_70,installments,12398.25,24,2024-12-20,31,53658,297558
payment_option_196,request_71,full_payment,21451000,1,2025-05-03,,0,21451000
payment_option_197,request_71,installments,1573073.33,15,2025-05-10,30,2145099.95,23596099.95
payment_option_198,request_72,full_payment,11330,1,2026-07-05,,0,11330
payment_option_199,request_72,installments,717.57,18,2026-07-19,31,1586.26,12916.26
payment_option_200,request_72,installments,2039.4,6,2026-07-05,28,906.4,12236.4
payment_option_201,request_72,installments,575.94,24,2026-07-08,30,2492.56,13822.56
payment_option_202,request_73,full_payment,71400,1,2023-01-20,,0,71400
payment_option_203,request_73,installments,4012,21,2023-01-20,28,12852,84252
payment_option_204,request_73,installments,12852,6,2023-01-23,30,5712,77112
payment_option_205,request_74,full_payment,5010,1,2025-08-04,,0,5010
payment_option_206,request_74,installments,345.69,15,2025-08-07,30,175.35,5185.35
payment_option_207,request_74,installments,219.19,24,2025-08-18,28,250.56,5260.56
payment_option_208,request_75,installments,9800.27,3,2026-04-09,30,1130.81,29400.81
payment_option_209,request_75,full_payment,28270,1,2026-04-06,,0,28270
payment_option_210,request_75,installments,1790.43,18,2026-04-13,31,3957.74,32227.74
payment_option_211,request_76,full_payment,4455.6,1,2024-06-03,,0,4455.6
payment_option_212,request_76,installments,250.36,21,2024-06-17,28,801.96,5257.56
payment_option_213,request_76,installments,226.49,24,2024-06-06,31,980.16,5435.76
payment_option_214,request_77,full_payment,60700,1,2025-11-05,,0,60700
payment_option_215,request_77,installments,4451.33,15,2025-11-05,30,6069.95,66769.95
payment_option_216,request_77,installments,10926,6,2025-11-08,31,4856,65556
payment_option_217,request_78,full_payment,50200,1,2025-10-02,,0,50200
payment_option_218,request_78,installments,3179.33,18,2025-10-05,31,7027.94,57227.94
payment_option_219,request_78,installments,9036,6,2025-10-09,28,4016,54216
payment_option_220,request_78,installments,2551.83,24,2025-10-16,30,11043.92,61243.92
payment_option_221,request_79,full_payment,2151.6,1,2024-09-04,,0,2151.6
payment_option_222,request_79,installments,120.9,21,2024-09-11,28,387.3,2538.9
payment_option_223,request_80,full_payment,217500,1,2025-02-06,,0,217500
payment_option_224,request_80,installments,15950,15,2025-02-20,30,21750,239250
payment_option_225,request_80,installments,11056.25,24,2025-02-09,28,47850,265350
payment_option_226,request_81,full_payment,2076,1,2026-07-03,,0,2076
payment_option_227,request_81,installments,131.48,18,2026-07-03,31,290.64,2366.64
payment_option_228,request_81,installments,373.68,6,2026-07-06,28,166.08,2242.08
payment_option_229,request_82,full_payment,1405.2,1,2024-12-05,,0,1405.2
payment_option_230,request_82,installments,78.96,21,2024-12-08,28,252.96,1658.16
payment_option_231,request_82,installments,71.43,24,2024-12-19,31,309.12,1714.32
payment_option_232,request_83,full_payment,156200,1,2025-05-07,,0,156200
payment_option_233,request_83,installments,11454.67,15,2025-05-14,30,15620.05,171820.05
payment_option_234,request_84,full_payment,95400,1,2026-04-04,,0,95400
payment_option_235,request_84,installments,6042,18,2026-04-18,31,13356,108756
payment_option_236,request_84,installments,4849.5,24,2026-04-07,30,20988,116388
payment_option_237,request_85,full_payment,19304000,1,2024-03-06,,0,19304000
payment_option_238,request_85,installments,1084700.95,21,2024-03-06,28,3474719.95,22778719.95
payment_option_239,request_86,full_payment,46300,1,2025-08-03,,0,46300
payment_option_240,request_86,installments,3395.33,15,2025-08-06,30,4629.95,50929.95
payment_option_241,request_86,installments,8334,6,2025-08-10,31,3704,50004
payment_option_242,request_86,installments,2353.58,24,2025-08-17,28,10185.92,56485.92
payment_option_243,request_87,full_payment,487900,1,2026-01-05,,0,487900
payment_option_244,request_87,installments,30900.33,18,2026-01-12,31,68305.94,556205.94
payment_option_245,request_88,installments,9045.23,3,2024-06-14,31,1043.69,27135.69
payment_option_246,request_88,full_payment,26092,1,2024-06-07,,0,26092
payment_option_247,request_88,installments,1466.12,21,2024-06-21,28,4696.52,30788.52
payment_option_248,request_89,installments,4768746.67,3,2025-11-18,28,550240.01,14306240.01
payment_option_249,request_89,full_payment,13756000,1,2025-11-04,,0,13756000
payment_option_250,request_89,installments,1008773.33,15,2025-11-04,30,1375599.95,15131599.95
payment_option_251,request_90,full_payment,2560,1,2026-07-06,,0,2560
payment_option_252,request_90,installments,147.2,18,2026-07-09,31,89.6,2649.6
payment_option_253,request_90,installments,112,24,2026-07-20,30,128,2688
payment_option_254,request_91,full_payment,1927.2,1,2024-09-03,,0,1927.2
payment_option_255,request_91,installments,108.29,21,2024-09-10,28,346.89,2274.09
payment_option_256,request_92,full_payment,34034,1,2025-02-05,,0,34034
payment_option_257,request_92,installments,2495.83,15,2025-02-19,30,3403.45,37437.45
payment_option_258,request_92,installments,6126.12,6,2025-02-05,31,2722.72,36756.72
payment_option_259,request_92,installments,1730.06,24,2025-02-08,28,7487.44,41521.44
payment_option_260,request_93,full_payment,1729.2,1,2026-04-07,,0,1729.2
payment_option_261,request_93,installments,109.52,18,2026-04-07,31,242.16,1971.36
payment_option_262,request_93,installments,311.26,6,2026-04-10,28,138.36,1867.56
payment_option_263,request_94,full_payment,572,1,2024-12-04,,0,572
payment_option_264,request_94,installments,32.14,21,2024-12-07,28,102.94,674.94
payment_option_265,request_94,installments,102.96,6,2024-12-11,30,45.76,617.76
payment_option_266,request_94,installments,29.08,24,2024-12-18,31,125.92,697.92
payment_option_267,request_95,full_payment,553000,1,2025-05-06,,0,553000
payment_option_268,request_95,installments,40553.33,15,2025-05-13,30,55299.95,608299.95
payment_option_269,request_96,installments,31269.33,3,2026-01-10,30,3607.99,93807.99
payment_option_270,request_96,full_payment,90200,1,2026-01-03,,0,90200
payment_option_271,request_96,installments,5712.67,18,2026-01-17,31,12628.06,102828.06
payment_option_272,request_97,installments,8145.28,3,2024-03-19,31,939.84,24435.84
payment_option_273,request_97,full_payment,23496,1,2024-03-05,,0,23496
payment_option_274,request_97,installments,1320.25,21,2024-03-05,28,4229.25,27725.25
payment_option_275,request_98,full_payment,27148,1,2025-08-07,,0,27148
payment_option_276,request_98,installments,1990.85,15,2025-08-10,30,2714.75,29862.75
payment_option_277,request_98,installments,1380.02,24,2025-08-21,28,5972.48,33120.48
payment_option_278,request_99,full_payment,18062,1,2026-07-04,,0,18062
payment_option_279,request_99,installments,1143.93,18,2026-07-11,31,2528.74,20590.74
payment_option_280,request_99,installments,3251.16,6,2026-07-18,28,1444.96,19506.96
payment_option_281,request_100,installments,12866.19,3,2024-06-13,31,1484.57,38598.57
payment_option_282,request_100,full_payment,37114,1,2024-06-06,,0,37114
payment_option_283,request_100,installments,2085.45,21,2024-06-20,28,6680.45,43794.45
payment_option_284,request_101,full_payment,143500,1,2025-11-03,,0,143500
payment_option_285,request_101,installments,10523.33,15,2025-11-03,30,14349.95,157849.95
payment_option_286,request_101,installments,25830,6,2025-11-06,31,11480,154980
payment_option_287,request_102,installments,594.88,3,2026-04-05,30,68.64,1784.64
payment_option_288,request_102,full_payment,1716,1,2026-04-05,,0,1716
payment_option_289,request_102,installments,108.68,18,2026-04-08,31,240.24,1956.24
payment_option_290,request_103,full_payment,368300,1,2024-09-07,,0,368300
payment_option_291,request_103,installments,20694.95,21,2024-09-14,28,66293.95,434593.95
payment_option_292,request_104,full_payment,17204,1,2025-02-04,,0,17204
payment_option_293,request_104,installments,1261.63,15,2025-02-18,30,1720.45,18924.45
payment_option_294,request_104,installments,874.54,24,2025-02-07,28,3784.96,20988.96
payment_option_295,request_105,full_payment,53500,1,2026-06-08,,0,53500
payment_option_296,request_105,installments,3388.33,18,2026-06-08,31,7489.94,60989.94
payment_option_297,request_105,installments,9630,6,2026-06-11,28,4280,57780
payment_option_298,request_106,full_payment,2207.7,1,2024-12-03,,0,2207.7
payment_option_299,request_106,installments,124.05,21,2024-12-06,28,397.35,2605.05
payment_option_300,request_106,installments,112.22,24,2024-12-17,31,485.58,2693.28
payment_option_301,request_107,installments,878.59,3,2025-05-08,28,101.37,2635.77
payment_option_302,request_107,full_payment,2534.4,1,2025-05-05,,0,2534.4
payment_option_303,request_107,installments,185.86,15,2025-05-12,30,253.5,2787.9
payment_option_304,request_108,full_payment,55308,1,2026-07-07,,0,55308
payment_option_305,request_108,installments,3502.84,18,2026-07-21,31,7743.12,63051.12
payment_option_306,request_108,installments,2811.49,24,2026-07-10,30,12167.76,67475.76
payment_option_307,request_109,installments,645.98,3,2024-03-18,31,74.54,1937.94
payment_option_308,request_109,full_payment,1863.4,1,2024-03-04,,0,1863.4
payment_option_309,request_109,installments,104.71,21,2024-03-04,28,335.51,2198.91
payment_option_310,request_110,installments,7748.69,3,2025-08-06,28,894.07,23246.07
payment_option_311,request_110,full_payment,22352,1,2025-08-06,,0,22352
payment_option_312,request_110,installments,1639.15,15,2025-08-09,30,2235.25,24587.25
payment_option_313,request_111,full_payment,16625000,1,2026-04-03,,0,16625000
payment_option_314,request_111,installments,1052916.67,18,2026-04-10,31,2327500.06,18952500.06
payment_option_315,request_111,installments,2992500,6,2026-04-17,28,1330000,17955000
payment_option_316,request_112,full_payment,271.7,1,2024-06-05,,0,271.7
payment_option_317,request_112,installments,15.27,21,2024-06-19,28,48.97,320.67
payment_option_318,request_112,installments,48.91,6,2024-06-05,30,21.76,293.46
payment_option_319,request_112,installments,13.81,24,2024-06-08,31,59.74,331.44
payment_option_320,request_113,full_payment,36500,1,2026-09-04,,0,36500
payment_option_321,request_113,installments,2518.5,15,2026-09-04,30,1277.5,37777.5
payment_option_322,request_114,full_payment,65300,1,2026-01-04,,0,65300
payment_option_323,request_114,installments,4135.67,18,2026-01-07,31,9142.06,74442.06
payment_option_324,request_114,installments,11754,6,2026-01-11,28,5224,70524
payment_option_325,request_114,installments,3319.42,24,2026-01-18,30,14366.08,79666.08
payment_option_326,request_115,full_payment,80500,1,2024-09-06,,0,80500
payment_option_327,request_115,installments,4523.33,21,2024-09-13,28,14489.93,94989.93
payment_option_328,request_116,full_payment,241200,1,2025-02-03,,0,241200
payment_option_329,request_116,installments,17688,15,2025-02-17,30,24120,265320
payment_option_330,request_116,installments,12261,24,2025-02-06,28,53064,294264
payment_option_331,request_117,full_payment,880,1,2026-07-05,,0,880
payment_option_332,request_117,installments,55.73,18,2026-07-05,31,123.14,1003.14
payment_option_333,request_117,installments,158.4,6,2026-07-08,28,70.4,950.4
payment_option_334,request_118,installments,255.87,3,2024-12-07,31,29.51,767.61
payment_option_335,request_118,full_payment,738.1,1,2024-12-07,,0,738.1
payment_option_336,request_118,installments,41.47,21,2024-12-10,28,132.77,870.87
payment_option_337,request_119,installments,70546.67,3,2025-05-18,28,8140.01,211640.01
payment_option_338,request_119,full_payment,203500,1,2025-05-04,,0,203500
payment_option_339,request_119,installments,14923.33,15,2025-05-11,30,20349.95,223849.95
payment_option_340,request_120,full_payment,7714000,1,2026-04-06,,0,7714000
payment_option_341,request_120,installments,488553.33,18,2026-04-20,31,1079959.94,8793959.94
payment_option_342,request_120,installments,1388520,6,2026-04-06,28,617120,8331120
payment_option_343,request_120,installments,392128.33,24,2026-04-09,30,1697079.92,9411079.92
payment_option_344,request_121,full_payment,633.6,1,2024-03-03,,0,633.6
payment_option_345,request_121,installments,35.6,21,2024-03-03,28,114,747.6
payment_option_346,request_121,installments,114.05,6,2024-03-06,30,50.7,684.3
payment_option_347,request_122,installments,7126773.33,3,2025-08-05,28,822319.99,21380319.99
payment_option_348,request_122,full_payment,20558000,1,2025-08-05,,0,20558000
payment_option_349,request_122,installments,1507586.67,15,2025-08-08,30,2055800.05,22613800.05
payment_option_350,request_123,full_payment,4076000,1,2026-01-07,,0,4076000
payment_option_351,request_123,installments,234370,18,2026-01-14,31,142660,4218660
payment_option_352,request_124,installments,1076.12,3,2024-06-11,31,124.16,3228.36
payment_option_353,request_124,full_payment,3104.2,1,2024-06-04,,0,3104.2
payment_option_354,request_124,installments,174.43,21,2024-06-18,28,558.83,3663.03
payment_option_355,request_125,full_payment,6468,1,2025-11-06,,0,6468
payment_option_356,request_125,installments,474.32,15,2025-11-06,30,646.8,7114.8
payment_option_357,request_125,installments,1164.24,6,2025-11-09,31,517.44,6985.44
payment_option_358,request_126,full_payment,159600,1,2026-07-03,,0,159600
payment_option_359,request_126,installments,10108,18,2026-07-06,31,22344,181944
payment_option_360,request_126,installments,8113,24,2026-07-17,30,35112,194712
payment_option_361,request_127,full_payment,23980,1,2024-09-05,,0,23980
payment_option_362,request_127,installments,1181.88,21,2024-09-12,28,839.48,24819.48
payment_option_363,request_128,full_payment,25168,1,2025-02-07,,0,25168
payment_option_364,request_128,installments,1845.65,15,2025-02-21,30,2516.75,27684.75
payment_option_365,request_128,installments,4530.24,6,2025-02-07,31,2013.44,27181.44
payment_option_366,request_128,installments,1279.37,24,2025-02-10,28,5536.88,30704.88
payment_option_367,request_129,full_payment,2668.8,1,2026-04-04,,0,2668.8
payment_option_368,request_129,installments,169.02,18,2026-04-04,31,373.56,3042.36
payment_option_369,request_130,full_payment,1978.8,1,2024-12-06,,0,1978.8
payment_option_370,request_130,installments,111.19,21,2024-12-09,28,356.19,2334.99
payment_option_371,request_130,installments,100.59,24,2024-12-20,31,435.36,2414.16
