user_id,home_currency,current_available_balance,minimum_balance_to_keep,financial_priorities,expense_categories_to_protect,expense_categories_user_is_willing_to_reduce,expense_categories_user_is_willing_to_stop,payment_methods_user_will_consider,max_installment_months
user_49,IDR,40504493.34,20275700,education|emergency_savings,rent|groceries|transport,dining|gym,,partial_payment|installments,6
user_50,INR,247325.5,99700,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment,
user_51,IDR,35347700,7811000,education|emergency_savings,rent|groceries|transport,,,full_payment|partial_payment|installments,3
user_52,INR,75320,41500,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|installments,9
user_53,USD,3523.42,2100,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,installments,12
user_54,ZAR,53581.4,37000,healthcare|retirement_investment,housing|healthcare|utilities,,streaming,partial_payment|installments,11
user_55,INR,314341.19,124300,emergency_savings|housing,rent|groceries|transport,dining|shopping,streaming|cloud_storage,partial_payment|installments,11
user_56,USD,3432.36,2100,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment|installments,11
user_57,ZAR,63914.6,42700,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,full_payment|partial_payment,
user_58,IDR,42146065,14433900,education|emergency_savings,rent|groceries|transport,gym,gym|delivery_membership,full_payment,
user_59,INR,723245.99,132600,education|emergency_savings,rent|groceries|transport,dining,gym|music_subscription,partial_payment|installments,7
user_60,USD,683.69,400,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,full_payment,
user_61,ZAR,147470.23,36700,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,10
user_62,USD,5151.44,1300,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,cloud_storage,full_payment|partial_payment,
user_63,INR,251795,153500,emergency_savings|travel,rent|insurance|transport,shopping,streaming,partial_payment,
user_64,INR,98573.01,36100,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,,partial_payment|installments,11
user_65,ZAR,28524,15500,education|family_support,housing|utilities|education,dining|entertainment,,partial_payment,
user_66,INR,302520,80700,retirement_investment|emergency_savings,rent|utilities|groceries,,,full_payment|partial_payment,
user_67,USD,1992.54,1200,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,,full_payment|installments,4
user_68,USD,3657.83,1500,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,12
user_69,EUR,1639.5,700,emergency_savings|housing,rent|groceries|transport,shopping,streaming,full_payment|partial_payment|installments,4
user_70,INR,208360,115000,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|installments,12
user_71,IDR,16369850,8884800,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,full_payment|partial_payment,
user_72,ZAR,30337.13,12200,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment,
user_73,INR,278542.5,103200,emergency_savings|housing,rent|groceries|transport,streaming,cloud_storage,full_payment|installments,2
user_74,ZAR,70056.9,21900,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming|cloud_storage,full_payment|partial_payment,
user_75,ZAR,145867.87,39000,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,streaming,partial_payment|installments,3
user_76,USD,3338.8,1800,education|emergency_savings,rent|groceries|transport,gym,music_subscription|delivery_membership,partial_payment,
user_77,INR,189860.5,82200,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment,
user_78,INR,156676,55200,emergency_savings|travel,rent|insurance|transport,streaming|shopping,streaming,full_payment|partial_payment,
user_79,EUR,2104.08,1000,emergency_savings|travel,rent|insurance|transport,streaming,streaming|cloud_storage,partial_payment,
user_80,INR,280125,121300,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,installments,3
user_81,USD,5028.25,1600,emergency_savings|housing,rent|groceries|transport,dining,cloud_storage,full_payment|partial_payment,
user_82,USD,2202.4,1100,emergency_savings|housing,rent|groceries|transport,,,full_payment|installments,8
user_83,INR,68930,37800,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment|installments,10
user_84,INR,153945,91300,emergency_savings|travel,rent|insurance|transport,dining|shopping,streaming|cloud_storage,full_payment|partial_payment,
user_85,IDR,8818420,6396300,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,partial_payment|installments,2
user_86,INR,228639.5,84900,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,6
user_87,INR,278750,185900,emergency_savings|travel,rent|insurance|transport,shopping,,full_payment|partial_payment,
user_88,ZAR,41357.89,25800,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,partial_payment|installments,11
user_89,IDR,27331862.01,12534700,emergency_savings|housing,rent|groceries|transport,dining|shopping,streaming|cloud_storage,partial_payment|installments,3
user_90,ZAR,31629.5,7600,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,cloud_storage,full_payment|partial_payment,
user_91,EUR,4209.6,2100,emergency_savings|housing,rent|groceries|transport,shopping,cloud_storage,full_payment|installments,6
user_92,ZAR,78664.47,28100,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_93,USD,3962.1,1900,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,full_payment|installments,10
user_94,EUR,2663.6,600,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming|cloud_storage,full_payment,
user_95,INR,283365,145500,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,partial_payment,
user_96,INR,161635.49,56500,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,installments,3
user_97,ZAR,38565.89,29700,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,5
user_98,ZAR,47244.7,30000,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,streaming|cloud_storage,full_payment,
user_99,ZAR,86706.58,49100,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_100,ZAR,68363.53,32500,emergency_savings|housing,rent|groceries|transport,streaming,streaming|cloud_storage,installments,9
user_101,INR,465868.5,187400,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|installments,10
user_102,EUR,4643.74,900,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,partial_payment|installments,10
user_103,INR,168749,125500,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,music_subscription|delivery_membership,full_payment|partial_payment|installments,6
user_104,ZAR,64021.7,24700,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment|installments,2
user_105,INR,147831.8,73900,emergency_savings|travel,rent|insurance|transport,shopping|entertainment,,full_payment|partial_payment|installments,9
user_106,EUR,2601.7,1200,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,full_payment,
user_107,EUR,5054.52,1600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment|installments,11
user_108,ZAR,31936.4,24100,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,,full_payment|partial_payment,
user_109,EUR,2976.46,1700,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,partial_payment|installments,5
user_110,ZAR,61229.53,11200,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,streaming|cloud_storage,installments,4
user_111,IDR,85204860,23022800,retirement_investment|emergency_savings,rent|utilities|groceries,dining,cloud_storage,full_payment|partial_payment|installments,2
user_112,EUR,1026,500,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_113,INR,141890,82300,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,,full_payment|installments,9
user_114,INR,219230,113400,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,streaming|cloud_storage,full_payment,
user_115,INR,65935,38800,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment,
user_116,INR,138375,80300,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,partial_payment|installments,12
user_117,EUR,2164.2,1000,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_118,EUR,1538.51,600,emergency_savings|housing,rent|groceries|transport,streaming|shopping,streaming,partial_payment|installments,9
user_119,INR,282101.01,151200,education|family_support,housing|utilities|education,dining|entertainment,,partial_payment|installments,3
user_120,IDR,31748980,20050300,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,streaming,full_payment,
user_121,USD,1741,800,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,delivery_membership,full_payment|partial_payment,
user_122,IDR,56827244.99,12588500,retirement_investment|emergency_savings,rent|utilities|groceries,dining,streaming|cloud_storage,installments,12
user_123,IDR,63706400,18091200,education|emergency_savings,rent|groceries|transport,,,full_payment|partial_payment,
user_124,EUR,3709.56,1600,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,12
user_125,ZAR,22027.97,11300,emergency_savings|travel,rent|insurance|transport,dining,cloud_storage,full_payment,
user_126,INR,403175,129700,retirement_investment|emergency_savings,rent|utilities|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,5
user_127,ZAR,66058,41000,emergency_savings|housing,rent|groceries|transport,dining|streaming,streaming|cloud_storage,full_payment,
user_128,ZAR,80711.7,42600,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment,
user_129,USD,1088,800,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming|cloud_storage,installments,10
user_130,USD,2317.46,1400,education|emergency_savings,rent|groceries|transport,dining,music_subscription|delivery_membership,full_payment|partial_payment|installments,2
user_131,USD,3387.16,1100,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,installments,7
user_132,USD,1744.55,1100,emergency_savings|travel,rent|insurance|transport,shopping,,full_payment,
user_133,IDR,36824650,9986200,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,partial_payment,
user_134,IDR,28020700,15902500,education|debt_repayment,rent|education|groceries|debt_repayment,,music_subscription|delivery_membership,full_payment,
user_135,USD,1041.1,500,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|installments,8
user_136,USD,2291.68,1100,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,full_payment|partial_payment,
user_137,INR,139760,71800,emergency_savings|housing,rent|groceries|transport,shopping,streaming,full_payment|partial_payment|installments,4
user_138,EUR,3644.65,2300,retirement_investment|emergency_savings,rent|utilities|groceries,streaming|shopping,streaming|cloud_storage,partial_payment|installments,11
user_139,USD,3767.84,1500,education|emergency_savings,rent|groceries|transport,,music_subscription,partial_payment|installments,3
user_140,ZAR,34679,21600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,installments,3
user_141,INR,122545,67300,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,partial_payment,
user_142,USD,5993.85,1700,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,,full_payment,
user_143,ZAR,20111,11300,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment|installments,2
user_144,USD,1248.08,600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_145,INR,261013.66,155400,emergency_savings|housing,rent|groceries|transport,dining|streaming,cloud_storage,installments,3
user_146,INR,190065,108600,education|family_support,housing|utilities|education,,cloud_storage,full_payment,
user_147,EUR,1641.53,900,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,streaming|cloud_storage,installments,11
user_148,ZAR,33181.08,20000,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription|delivery_membership,installments,12
user_149,ZAR,84358.38,42100,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,8
user_150,EUR,1257.44,700,emergency_savings|travel,rent|insurance|transport,streaming|shopping,streaming|cloud_storage,partial_payment|installments,6
user_151,IDR,83998265,31633600,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,full_payment,
user_152,ZAR,28368.77,11900,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,installments,3
user_153,USD,1903.6,1400,emergency_savings|travel,rent|insurance|transport,streaming,streaming|cloud_storage,full_payment|installments,3
user_154,EUR,4679.4,1300,emergency_savings|housing,rent|groceries|transport,shopping,,installments,10
user_155,INR,218050,56300,education|family_support,housing|utilities|education,,cloud_storage,full_payment,
user_156,ZAR,42105.3,26900,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,,full_payment|partial_payment|installments,8
user_157,IDR,25805950,15714100,education|emergency_savings,rent|groceries|transport,gym|entertainment,,full_payment,
user_158,INR,745417.1,131400,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,,partial_payment|installments,4
user_159,ZAR,40283.2,8700,education|emergency_savings,rent|groceries|transport,,music_subscription,full_payment|partial_payment,
user_160,EUR,2144.61,1200,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,,installments,9
user_161,IDR,41308350,23010400,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment|partial_payment,
user_162,IDR,34607300,24161100,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment,
user_163,IDR,49519524.26,26728700,emergency_savings|housing,rent|groceries|transport,dining,cloud_storage,partial_payment|installments,10
user_164,IDR,75429169.2,29550500,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment|installments,12
user_165,INR,366705,95000,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,streaming|cloud_storage,full_payment,
user_166,USD,9001.95,1700,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming|shopping,,installments,8
user_167,ZAR,105090.3,31200,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,7
user_168,INR,173843,114400,emergency_savings|travel,rent|insurance|transport,shopping|entertainment,cloud_storage,partial_payment,
user_169,ZAR,77544.5,18700,emergency_savings|travel,rent|insurance|transport,dining,streaming,full_payment|partial_payment,
user_170,IDR,69446998.4,24715800,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment|installments,6
user_171,EUR,810.65,500,healthcare|retirement_investment,housing|healthcare|utilities,dining,streaming,partial_payment|installments,4
user_172,ZAR,50942.4,27200,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,partial_payment|installments,2
user_173,INR,162290.53,79100,emergency_savings|travel,rent|insurance|transport,dining|shopping,,installments,12
user_174,EUR,3266.04,700,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,streaming|cloud_storage,partial_payment|installments,9
user_175,EUR,4760.25,1700,education|emergency_savings,rent|groceries|transport,gym,music_subscription,full_payment,
user_176,EUR,1286.95,600,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,,full_payment|partial_payment|installments,12
user_177,USD,2987.24,1300,emergency_savings|travel,rent|insurance|transport,dining|shopping|entertainment,streaming|cloud_storage,full_payment,
user_178,EUR,7959.3,1400,retirement_investment|emergency_savings,rent|utilities|groceries,dining|shopping,,partial_payment|installments,12
user_179,IDR,79388050,41430800,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|installments,5
user_180,INR,134980,37300,education|debt_repayment,rent|education|groceries|debt_repayment,dining,,full_payment|partial_payment|installments,7
user_181,USD,3362,2000,emergency_savings|housing,rent|groceries|transport,streaming,streaming|cloud_storage,full_payment|partial_payment|installments,12
user_182,ZAR,125010.3,31100,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,full_payment|partial_payment,
user_183,IDR,42156223.74,11878300,emergency_savings|travel,rent|insurance|transport,shopping|entertainment,streaming|cloud_storage,installments,11
user_184,INR,163160,110800,emergency_savings|travel,rent|insurance|transport,,streaming|cloud_storage,installments,2
user_185,EUR,2083.4,1300,emergency_savings|housing,rent|groceries|transport,dining,streaming|cloud_storage,full_payment,
user_186,ZAR,44863.5,22000,emergency_savings|travel,rent|insurance|transport,dining|shopping,streaming|cloud_storage,full_payment|partial_payment|installments,8
user_187,INR,195735,128300,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment|installments,2
user_188,EUR,1485.3,900,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment|installments,7
user_189,EUR,1147.66,400,healthcare|retirement_investment,housing|healthcare|utilities,dining,streaming,full_payment|partial_payment,
user_190,EUR,3155.8,1600,emergency_savings|housing,rent|groceries|transport,dining,,full_payment,
user_191,EUR,1591.06,500,education|family_support,housing|utilities|education,dining,cloud_storage,full_payment|installments,5
user_192,USD,1384.8,1000,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming|cloud_storage,full_payment|installments,7
user_193,EUR,1310.62,1000,education|emergency_savings,rent|groceries|transport,dining,music_subscription|delivery_membership,partial_payment|installments,8
user_194,INR,208630,113600,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment,
user_195,EUR,2011.18,700,emergency_savings|travel,rent|insurance|transport,streaming|entertainment,,installments,5
user_196,EUR,1575.65,500,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment,
user_197,IDR,96081218.26,26245900,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment|installments,12
user_198,INR,395190,124300,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_199,IDR,136691818.94,25359500,education|emergency_savings,rent|groceries|transport,entertainment,music_subscription,installments,7
user_200,IDR,53886150,20114600,education|family_support,housing|utilities|education,entertainment,cloud_storage,full_payment|partial_payment,
user_201,IDR,77973400,17304500,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming|cloud_storage,full_payment|partial_payment|installments,2
user_202,INR,366065,147800,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment,
user_203,EUR,8327.38,1400,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym|music_subscription,installments,7
user_204,EUR,2626.28,1300,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment|installments,4
user_205,IDR,31462900,13994300,emergency_savings|housing,rent|groceries|transport,shopping,streaming|cloud_storage,full_payment,
user_206,EUR,5231.14,900,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,cloud_storage,partial_payment|installments,4
user_207,ZAR,26729.6,13600,healthcare|retirement_investment,housing|healthcare|utilities,dining,streaming,full_payment|installments,9
user_208,IDR,16928800,10470700,emergency_savings|housing,rent|groceries|transport,dining,,full_payment,
user_209,ZAR,27025.1,18400,education|family_support,housing|utilities|education,dining|entertainment,cloud_storage,partial_payment,
user_210,USD,3525.32,2000,retirement_investment|emergency_savings,rent|utilities|groceries,dining|streaming,streaming|cloud_storage,partial_payment|installments,5
user_211,EUR,2727.89,1500,education|emergency_savings,rent|groceries|transport,dining|entertainment,,full_payment|installments,8
user_212,IDR,51923800,29579800,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,11
user_213,USD,12051.94,2100,emergency_savings|travel,rent|insurance|transport,shopping,streaming|cloud_storage,installments,3
user_214,INR,292180,174900,emergency_savings|travel,rent|insurance|transport,dining|streaming|shopping,streaming,partial_payment|installments,5
user_215,ZAR,93951.16,15700,education|emergency_savings,rent|groceries|transport,gym|entertainment,delivery_membership,installments,12
user_216,USD,2966.8,1800,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment,
user_217,ZAR,58401.97,26800,emergency_savings|housing,rent|groceries|transport,dining|streaming|shopping,streaming|cloud_storage,installments,11
user_218,IDR,72419614.8,34477200,education|family_support,housing|utilities|education,,,partial_payment|installments,8
user_219,EUR,2815.51,1100,retirement_investment|emergency_savings,rent|utilities|groceries,streaming,,installments,5
user_220,EUR,1487.32,1100,education|emergency_savings,rent|groceries|transport,dining|entertainment,gym,partial_payment|installments,6
user_221,INR,268305,81500,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment,
user_222,ZAR,118101.7,27300,retirement_investment|emergency_savings,rent|utilities|groceries,,streaming,full_payment|partial_payment,
user_223,EUR,2255.51,800,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,full_payment,
user_224,IDR,49969400,22187600,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,partial_payment|installments,2
user_225,IDR,35791159.6,17670700,emergency_savings|housing,rent|groceries|transport,streaming,cloud_storage,installments,4
user_226,INR,581180,209400,emergency_savings|housing,rent|groceries|transport,streaming|shopping,cloud_storage,full_payment,
user_227,INR,105655,62900,education|family_support,housing|utilities|education,dining|entertainment,,partial_payment,
user_228,IDR,36748550,26191200,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment|installments,5
user_229,EUR,1800.52,1000,education|emergency_savings,rent|groceries|transport,,music_subscription|delivery_membership,installments,4
user_230,EUR,8676.76,2000,healthcare|family_support,rent|healthcare|family_support|groceries,,cloud_storage,full_payment|partial_payment,
user_231,ZAR,84590.59,24300,emergency_savings|travel,rent|insurance|transport,dining,streaming|cloud_storage,installments,11
user_232,EUR,4269.4,2400,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription,full_payment|installments,8
user_233,IDR,19341300,10365700,education|debt_repayment,rent|education|groceries|debt_repayment,,music_subscription|delivery_membership,partial_payment|installments,9
user_234,EUR,1274.25,700,healthcare|retirement_investment,housing|healthcare|utilities,dining|streaming,streaming,full_payment|partial_payment,
user_235,USD,2086.28,700,emergency_savings|travel,rent|insurance|transport,shopping|entertainment,streaming|cloud_storage,full_payment|installments,5
user_236,IDR,31173450,16768600,education|family_support,housing|utilities|education,dining,cloud_storage,partial_payment,
user_237,IDR,100824550,22431500,retirement_investment|emergency_savings,rent|utilities|groceries,streaming|shopping,,full_payment,
